312 at: 476.08  st: 476.08  vt: 3.05  dt: 479.13
308 at: 466.74  st: 466.74  vt: 12.97  dt: 479.71
315 at: 479.00  st: 479.71  vt: 0.10  dt: 479.81
309 at: 468.25  st: 468.25  vt: 11.84  dt: 480.08
306 at: 463.87  st: 463.87  vt: 17.31  dt: 481.18
314 at: 478.47  st: 479.13  vt: 4.11  dt: 483.24
319 at: 484.54  st: 484.54  vt: 0.24  dt: 484.78
313 at: 478.16  st: 478.16  vt: 7.84  dt: 486.00
301 at: 459.21  st: 459.21  vt: 27.44  dt: 486.66
310 at: 474.58  st: 474.58  vt: 12.55  dt: 487.14
317 at: 483.41  st: 483.41  vt: 4.10  dt: 487.51
321 at: 488.37  st: 488.37  vt: 2.28  dt: 490.65
322 at: 491.22  st: 491.22  vt: 3.66  dt: 494.89
320 at: 488.14  st: 488.14  vt: 7.14  dt: 495.27
323 at: 493.24  st: 493.24  vt: 2.82  dt: 496.05
326 at: 498.83  st: 498.83  vt: 0.65  dt: 499.48
325 at: 497.67  st: 497.67  vt: 5.66  dt: 503.32
318 at: 483.55  st: 483.55  vt: 24.34  dt: 507.89
328 at: 503.04  st: 503.04  vt: 5.85  dt: 508.89
330 at: 509.48  st: 509.48  vt: 1.03  dt: 510.51
327 at: 500.26  st: 500.26  vt: 14.63  dt: 514.89
316 at: 480.09  st: 480.09  vt: 35.95  dt: 516.04
329 at: 509.43  st: 509.43  vt: 8.16  dt: 517.59
335 at: 517.33  st: 517.33  vt: 0.70  dt: 518.03
332 at: 512.88  st: 512.88  vt: 8.95  dt: 521.83
324 at: 495.29  st: 495.29  vt: 27.05  dt: 522.34
311 at: 475.72  st: 475.72  vt: 47.42  dt: 523.14
334 at: 516.17  st: 516.17  vt: 9.46  dt: 525.62
341 at: 523.75  st: 525.62  vt: 1.30  dt: 526.92
338 at: 520.68  st: 521.83  vt: 5.28  dt: 527.11
343 at: 525.34  st: 527.11  vt: 1.15  dt: 528.26
339 at: 522.55  st: 522.55  vt: 6.29  dt: 528.85
340 at: 523.27  st: 523.27  vt: 7.34  dt: 530.60
333 at: 515.36  st: 515.36  vt: 15.54  dt: 530.89
342 at: 523.83  st: 526.92  vt: 4.90  dt: 531.82
336 at: 519.43  st: 519.43  vt: 13.96  dt: 533.39
348 at: 534.17  st: 534.17  vt: 1.08  dt: 535.25
350 at: 536.22  st: 536.22  vt: 1.39  dt: 537.61
345 at: 526.70  st: 528.85  vt: 12.31  dt: 541.16
344 at: 526.13  st: 528.26  vt: 14.81  dt: 543.07
346 at: 527.53  st: 530.60  vt: 14.34  dt: 544.94
351 at: 537.93  st: 537.93  vt: 7.34  dt: 545.27
347 at: 528.09  st: 530.89  vt: 15.11  dt: 546.00
352 at: 538.55  st: 541.16  vt: 6.18  dt: 547.34
355 at: 545.21  st: 545.27  vt: 3.68  dt: 548.95
337 at: 520.32  st: 520.32  vt: 32.71  dt: 553.03
354 at: 543.88  st: 544.94  vt: 8.39  dt: 553.33
356 at: 546.49  st: 546.49  vt: 7.64  dt: 554.14
349 at: 534.27  st: 534.27  vt: 21.49  dt: 555.76
357 at: 548.82  st: 548.82  vt: 12.14  dt: 560.97
359 at: 549.90  st: 553.03  vt: 8.49  dt: 561.52
331 at: 509.66  st: 509.66  vt: 52.19  dt: 561.85
358 at: 549.68  st: 549.68  vt: 13.33  dt: 563.01
360 at: 552.14  st: 553.33  vt: 12.85  dt: 566.18
364 at: 557.75  st: 561.52  vt: 5.09  dt: 566.61
367 at: 565.63  st: 566.18  vt: 3.51  dt: 569.69
365 at: 560.05  st: 561.85  vt: 9.31  dt: 571.16
361 at: 552.78  st: 554.14  vt: 18.32  dt: 572.46
366 at: 562.97  st: 563.01  vt: 10.44  dt: 573.44
369 at: 571.60  st: 571.60  vt: 4.36  dt: 575.96
371 at: 574.80  st: 574.80  vt: 1.72  dt: 576.52
373 at: 579.03  st: 579.03  vt: 0.23  dt: 579.26
368 at: 569.83  st: 569.83  vt: 10.16  dt: 579.99
370 at: 572.40  st: 572.40  vt: 8.46  dt: 580.87
353 at: 541.00  st: 543.07  vt: 38.47  dt: 581.54
374 at: 579.59  st: 579.59  vt: 3.81  dt: 583.40
375 at: 582.21  st: 582.21  vt: 2.63  dt: 584.84
363 at: 555.26  st: 560.97  vt: 25.43  dt: 586.40
372 at: 578.42  st: 578.42  vt: 8.21  dt: 586.63
378 at: 585.88  st: 585.88  vt: 2.10  dt: 587.97
382 at: 589.11  st: 589.11  vt: 0.79  dt: 589.90
381 at: 588.10  st: 588.10  vt: 2.27  dt: 590.37
376 at: 583.00  st: 583.00  vt: 8.05  dt: 591.05
380 at: 587.99  st: 587.99  vt: 4.66  dt: 592.64
386 at: 590.79  st: 591.05  vt: 3.32  dt: 594.37
384 at: 590.09  st: 590.09  vt: 4.36  dt: 594.45
379 at: 586.06  st: 586.06  vt: 12.92  dt: 598.98
387 at: 591.32  st: 592.64  vt: 6.57  dt: 599.22
383 at: 589.94  st: 589.94  vt: 9.61  dt: 599.55
385 at: 590.24  st: 590.37  vt: 10.45  dt: 600.83
392 at: 594.44  st: 599.55  vt: 2.47  dt: 602.02
391 at: 593.96  st: 599.22  vt: 5.69  dt: 604.90
393 at: 594.90  st: 600.83  vt: 5.25  dt: 606.08
390 at: 593.71  st: 598.98  vt: 7.86  dt: 606.84
395 at: 599.81  st: 604.90  vt: 2.10  dt: 607.01
397 at: 604.57  st: 606.84  vt: 0.82  dt: 607.66
377 at: 584.66  st: 584.66  vt: 23.88  dt: 608.53
396 at: 603.63  st: 606.08  vt: 2.51  dt: 608.59
388 at: 591.60  st: 594.37  vt: 15.52  dt: 609.88
389 at: 591.72  st: 594.45  vt: 18.19  dt: 612.64
399 at: 605.70  st: 607.66  vt: 5.36  dt: 613.02
400 at: 606.89  st: 608.53  vt: 6.27  dt: 614.81
403 at: 608.56  st: 612.64  vt: 4.03  dt: 616.67
402 at: 607.91  st: 609.88  vt: 10.09  dt: 619.97
398 at: 605.34  st: 607.01  vt: 15.37  dt: 622.38
405 at: 609.21  st: 614.81  vt: 9.60  dt: 624.41
408 at: 614.74  st: 622.38  vt: 2.82  dt: 625.20
406 at: 609.94  st: 616.67  vt: 8.83  dt: 625.50
401 at: 607.81  st: 608.59  vt: 17.65  dt: 626.24
394 at: 599.62  st: 602.02  vt: 24.43  dt: 626.45
404 at: 608.82  st: 613.02  vt: 14.49  dt: 627.51
410 at: 615.05  st: 625.20  vt: 2.37  dt: 627.57
415 at: 623.42  st: 627.57  vt: 3.57  dt: 631.14
412 at: 616.81  st: 626.24  vt: 5.35  dt: 631.59
411 at: 616.61  st: 625.50  vt: 6.92  dt: 632.42
414 at: 622.86  st: 627.51  vt: 5.64  dt: 633.15
413 at: 617.90  st: 626.45  vt: 8.35  dt: 634.80
418 at: 625.12  st: 632.42  vt: 3.63  dt: 636.05
409 at: 614.96  st: 624.41  vt: 12.47  dt: 636.87
422 at: 636.92  st: 636.92  vt: 1.40  dt: 638.32
419 at: 629.01  st: 633.15  vt: 6.24  dt: 639.39
423 at: 637.74  st: 638.32  vt: 1.30  dt: 639.62
362 at: 554.64  st: 555.76  vt: 86.00  dt: 641.76
425 at: 640.81  st: 640.81  vt: 3.22  dt: 644.03
416 at: 624.79  st: 631.14  vt: 13.11  dt: 644.25
417 at: 625.09  st: 631.59  vt: 15.06  dt: 646.66
420 at: 634.13  st: 634.80  vt: 12.05  dt: 646.85
430 at: 646.42  st: 646.85  vt: 0.18  dt: 647.03
421 at: 635.88  st: 636.05  vt: 13.97  dt: 650.02
426 at: 642.25  st: 642.25  vt: 8.26  dt: 650.52
424 at: 640.08  st: 640.08  vt: 10.68  dt: 650.76
433 at: 649.13  st: 650.52  vt: 0.90  dt: 651.42
429 at: 644.68  st: 646.66  vt: 6.98  dt: 653.64
434 at: 650.62  st: 650.76  vt: 4.23  dt: 654.99
431 at: 647.42  st: 647.42  vt: 7.65  dt: 655.07
407 at: 613.36  st: 619.97  vt: 36.33  dt: 656.30
437 at: 659.94  st: 659.94  vt: 2.20  dt: 662.14
436 at: 654.57  st: 654.57  vt: 11.43  dt: 666.00
427 at: 643.41  st: 644.03  vt: 22.29  dt: 666.32
440 at: 665.93  st: 665.93  vt: 2.69  dt: 668.62
428 at: 643.96  st: 644.25  vt: 24.61  dt: 668.86
