258 at: 399.82  st: 465.59  vt: 4.95  dt: 470.54
255 at: 397.45  st: 460.31  vt: 10.81  dt: 471.12
260 at: 404.44  st: 467.19  vt: 4.06  dt: 471.25
264 at: 408.15  st: 471.12  vt: 1.14  dt: 472.26
261 at: 405.19  st: 467.34  vt: 5.41  dt: 472.75
262 at: 406.52  st: 469.77  vt: 3.29  dt: 473.06
259 at: 401.15  st: 465.63  vt: 7.89  dt: 473.52
265 at: 408.64  st: 471.25  vt: 3.26  dt: 474.51
263 at: 408.04  st: 470.54  vt: 4.53  dt: 475.07
270 at: 413.34  st: 474.51  vt: 0.58  dt: 475.09
269 at: 412.56  st: 473.52  vt: 2.84  dt: 476.36
268 at: 409.25  st: 473.06  vt: 4.00  dt: 477.06
271 at: 414.19  st: 475.07  vt: 4.26  dt: 479.33
267 at: 409.18  st: 472.75  vt: 7.03  dt: 479.78
275 at: 426.07  st: 479.33  vt: 2.92  dt: 482.25
274 at: 424.78  st: 477.06  vt: 7.10  dt: 484.16
276 at: 426.66  st: 479.78  vt: 5.67  dt: 485.45
266 at: 409.14  st: 472.26  vt: 13.39  dt: 485.65
272 at: 423.06  st: 475.09  vt: 11.98  dt: 487.07
280 at: 433.01  st: 485.65  vt: 2.03  dt: 487.68
278 at: 427.36  st: 484.16  vt: 5.12  dt: 489.28
277 at: 426.97  st: 482.25  vt: 8.17  dt: 490.42
284 at: 437.94  st: 490.42  vt: 0.99  dt: 491.42
282 at: 434.08  st: 487.68  vt: 7.71  dt: 495.39
285 at: 437.99  st: 491.42  vt: 4.76  dt: 496.18
287 at: 441.09  st: 496.18  vt: 4.03  dt: 500.21
283 at: 437.86  st: 489.28  vt: 11.83  dt: 501.11
289 at: 446.29  st: 501.11  vt: 2.31  dt: 503.42
281 at: 433.38  st: 487.07  vt: 16.89  dt: 503.96
286 at: 439.42  st: 495.39  vt: 9.09  dt: 504.48
288 at: 444.46  st: 500.21  vt: 4.87  dt: 505.08
273 at: 423.15  st: 476.36  vt: 29.19  dt: 505.55
293 at: 449.74  st: 505.08  vt: 1.83  dt: 506.91
294 at: 450.06  st: 505.55  vt: 2.90  dt: 508.45
295 at: 450.47  st: 506.91  vt: 2.64  dt: 509.55
297 at: 454.69  st: 509.55  vt: 1.20  dt: 510.75
291 at: 447.78  st: 503.96  vt: 8.15  dt: 512.11
292 at: 449.43  st: 504.48  vt: 7.78  dt: 512.26
296 at: 451.13  st: 508.45  vt: 5.44  dt: 513.89
298 at: 455.67  st: 510.75  vt: 4.01  dt: 514.76
279 at: 430.96  st: 485.45  vt: 32.20  dt: 517.65
290 at: 446.63  st: 503.42  vt: 14.83  dt: 518.25
300 at: 459.07  st: 512.26  vt: 8.52  dt: 520.77
303 at: 461.17  st: 517.65  vt: 3.35  dt: 521.00
